,crop,thru_month,model,r2_score,rmse
0,wheat,4,RandomForestRegressor,0.136,6.18
1,wheat,4,GradientBoostingRegressor,0.167,6.07
2,corn,5,RandomForestRegressor,0.139,21.9
3,beans,5,RandomForestRegressor,0.361,132.78
4,beans,5,GradientBoostingRegressor,0.362,132.72
5,beans,5,DecisionTreeRegressor,0.602,104.86
6,wheat,5,Lasso,0.061,6.45
7,wheat,5,ElasticNet,0.026,6.56
8,wheat,5,DecisionTreeRegressor,0.292,5.6
9,corn,6,RandomForestRegressor,0.044,23.08
10,barley,6,RandomForestRegressor,0.139,16.62
11,beans,6,RandomForestRegressor,0.291,139.9
12,beans,6,GradientBoostingRegressor,0.365,132.39
13,beans,6,DecisionTreeRegressor,0.169,151.44
14,wheat,6,Lasso,0.059,6.45
15,wheat,6,GradientBoostingRegressor,0.077,6.39
16,barley,7,RandomForestRegressor,0.086,17.11
17,wheat,7,GradientBoostingRegressor,0.174,6.05
18,barley,8,RandomForestRegressor,0.054,17.41
19,beans,9,BayesianRidge,0.053,161.68
20,barley,10,RandomForestRegressor,0.083,17.15
21,beans,10,BayesianRidge,0.138,154.23
